job,sex,year,count,perc
Apprentice - Construction,women,1950,0,0.0
Apprentice - Construction,women,1960,100,1.1506486250000001e-06
Apprentice - Construction,women,1970,302,2.7640033190000004e-06
Apprentice - Construction,women,1980,0,0.0
Apprentice - Construction,women,1990,0,0.0
Apprentice - Construction,women,2000,0,0.0
Apprentice - Electrician,men,1850,0,0.0
Apprentice - Electrician,men,1860,0,0.0
Apprentice - Electrician,men,1870,0,0.0
Apprentice - Electrician,men,1880,0,0.0
Apprentice - Electrician,men,1900,1407,4.7390059020000006e-05
Apprentice - Electrician,men,1910,0,0.0
Apprentice - Electrician,men,1920,4439,0.000105719516334
Apprentice - Electrician,men,1930,1517,3.1130607859e-05
Apprentice - Electrician,men,1940,7102,0.00013649482406500002
Apprentice - Electrician,men,1950,12387,0.00020393172529800001
Apprentice - Electrician,men,1960,9156,0.00010535338812600001
Apprentice - Electrician,men,1970,22140,0.00020263256123300002
Apprentice - Electrician,men,1980,18588,0.000144650501804
Apprentice - Electrician,men,1990,17188,0.000115258484553
Apprentice - Electrician,men,2000,0,0.0
Apprentice - Electrician,women,1850,0,0.0
Apprentice - Electrician,women,1860,0,0.0
Apprentice - Electrician,women,1870,0,0.0
Apprentice - Electrician,women,1880,0,0.0
Apprentice - Electrician,women,1900,0,0.0
Apprentice - Electrician,women,1910,0,0.0
Apprentice - Electrician,women,1920,0,0.0
Apprentice - Electrician,women,1930,0,0.0
Apprentice - Electrician,women,1940,101,1.941140133e-06
Apprentice - Electrician,women,1950,0,0.0
Apprentice - Electrician,women,1960,99,1.139142138e-06
Apprentice - Electrician,women,1970,500,4.5761644360000005e-06
Apprentice - Electrician,women,1980,1160,9.027037986000001e-06
Apprentice - Electrician,women,1990,901,6.041883557e-06
Apprentice - Electrician,women,2000,0,0.0
Apprentice - Machinist,men,1850,0,0.0
Apprentice - Machinist,men,1860,2612,0.000309682902255
Apprentice - Machinist,men,1870,3212,0.00024464852301800004
Apprentice - Machinist,men,1880,4391,0.000239849900173
Apprentice - Machinist,men,1900,12049,0.00040583000791700005
Apprentice - Machinist,men,1910,0,0.0
Apprentice - Machinist,men,1920,17659,0.00042056790695100003
Apprentice - Machinist,men,1930,7077,0.000145228287293
Apprentice - Machinist,men,1940,17891,0.00034385087262
Apprentice - Machinist,men,1950,17372,0.000286001609096
Apprentice - Machinist,men,1960,14047,0.000161631612386
Apprentice - Machinist,men,1970,17724,0.000162215876932
Apprentice - Machinist,men,1980,15146,0.00011786510115800001
Apprentice - Machinist,men,1990,4030,2.7024185056e-05
Apprentice - Machinist,men,2000,0,0.0
Apprentice - Machinist,women,1850,0,0.0
Apprentice - Machinist,women,1860,0,0.0
Apprentice - Machinist,women,1870,0,0.0
Apprentice - Machinist,women,1880,200,1.0924613991000001e-05
Apprentice - Machinist,women,1900,100,3.368163398e-06
Apprentice - Machinist,women,1910,0,0.0
Apprentice - Machinist,women,1920,101,2.405422651e-06
Apprentice - Machinist,women,1930,0,0.0
Apprentice - Machinist,women,1940,0,0.0
Apprentice - Machinist,women,1950,165,2.7164555310000003e-06
Apprentice - Machinist,women,1960,497,5.718723667e-06
Apprentice - Machinist,women,1970,401,3.670083877e-06
Apprentice - Machinist,women,1980,841,6.54460254e-06
Apprentice - Machinist,women,1990,356,2.387248109e-06
Apprentice - Machinist,women,2000,0,0.0
Apprentice - Mechanic,men,1850,0,0.0
Apprentice - Mechanic,men,1860,1003,0.00011891728597300001
Apprentice - Mechanic,men,1870,1710,0.000130245633362
Apprentice - Mechanic,men,1880,0,0.0
Apprentice - Mechanic,men,1900,504,1.6975543529000002e-05
Apprentice - Mechanic,men,1910,0,0.0
Apprentice - Mechanic,men,1920,1313,3.1270494468e-05
Apprentice - Mechanic,men,1930,1011,2.0746898184000002e-05
Apprentice - Mechanic,men,1940,0,0.0
Apprentice - Mechanic,men,1950,4726,7.7805871781e-05
Apprentice - Mechanic,men,1960,4784,5.5047030231000005e-05
Apprentice - Mechanic,men,1970,5309,4.8589713983000006e-05
Apprentice - Mechanic,men,1980,0,0.0
Apprentice - Mechanic,men,1990,0,0.0
Apprentice - Mechanic,men,2000,0,0.0
Apprentice - Mechanic,women,1850,0,0.0
Apprentice - Mechanic,women,1860,0,0.0
Apprentice - Mechanic,women,1870,101,7.692870742000001e-06
Apprentice - Mechanic,women,1880,0,0.0
Apprentice - Mechanic,women,1900,0,0.0
Apprentice - Mechanic,women,1910,0,0.0
Apprentice - Mechanic,women,1920,0,0.0
Apprentice - Mechanic,women,1930,0,0.0
Apprentice - Mechanic,women,1940,0,0.0
Apprentice - Mechanic,women,1950,0,0.0
Apprentice - Mechanic,women,1960,200,2.3012972500000003e-06
Apprentice - Mechanic,women,1970,201,1.839618103e-06
Apprentice - Mechanic,women,1980,0,0.0
Apprentice - Mechanic,women,1990,0,0.0
Apprentice - Mechanic,women,2000,0,0.0
Apprentice - Metal Working,men,1850,0,0.0
Apprentice - Metal Working,men,1860,13251,0.001571059777099
Apprentice - Metal Working,men,1870,15780,0.001201915844716
Apprentice - Metal Working,men,1880,8480,0.00046320363322
Apprentice - Metal Working,men,1900,8337,0.000280803782555
Apprentice - Metal Working,men,1910,0,0.0
Apprentice - Metal Working,men,1920,8076,0.000192338547853
Apprentice - Metal Working,men,1930,6067,0.000124501910274
Apprentice - Metal Working,men,1940,0,0.0
Apprentice - Metal Working,men,1950,8716,0.00014349470555400002
Apprentice - Metal Working,men,1960,4984,5.734832748100001e-05
Apprentice - Metal Working,men,1970,6807,6.229990263300001e-05
Apprentice - Metal Working,men,1980,720,5.602989095e-06
Apprentice - Metal Working,men,1990,930,6.2363503970000005e-06
Apprentice - Metal Working,men,2000,0,0.0
Apprentice - Metal Working,women,1850,0,0.0
Apprentice - Metal Working,women,1860,0,0.0
Apprentice - Metal Working,women,1870,0,0.0
Apprentice - Metal Working,women,1880,0,0.0
Apprentice - Metal Working,women,1900,101,3.401845032e-06
Apprentice - Metal Working,women,1910,0,0.0
Apprentice - Metal Working,women,1920,0,0.0
Apprentice - Metal Working,women,1930,0,0.0
Apprentice - Metal Working,women,1940,0,0.0
Apprentice - Metal Working,women,1950,246,4.0499882470000004e-06
Apprentice - Metal Working,women,1960,0,0.0
Apprentice - Metal Working,women,1970,0,0.0
Apprentice - Metal Working,women,1980,160,1.245108687e-06
Apprentice - Metal Working,women,1990,106,7.108098302665924e-07
Apprentice - Metal Working,women,2000,0,0.0
Apprentice - Plumber,men,1850,0,0.0
Apprentice - Plumber,men,1860,1004,0.00011903584757400001
Apprentice - Plumber,men,1870,2011,0.000153171911516
Apprentice - Plumber,men,1880,1694,9.2531480504e-05
Apprentice - Plumber,men,1900,2815,9.481379967500001e-05
Apprentice - Plumber,men,1910,0,0.0
Apprentice - Plumber,men,1920,5749,0.00013691856260600002
Apprentice - Plumber,men,1930,6571,0.00013484457761800002
Apprentice - Plumber,men,1940,8921,0.000171454565683
Apprentice - Plumber,men,1950,17684,0.00029113817955600004
Apprentice - Plumber,men,1960,9754,0.00011223426690500001
Apprentice - Plumber,men,1970,15327,0.000140277744626
Apprentice - Plumber,men,1980,12270,9.5484272495e-05
Apprentice - Plumber,men,1990,7878,5.282792304500001e-05
Apprentice - Plumber,men,2000,0,0.0
Apprentice - Plumber,women,1850,0,0.0
Apprentice - Plumber,women,1860,0,0.0
Apprentice - Plumber,women,1870,0,0.0
Apprentice - Plumber,women,1880,0,0.0
Apprentice - Plumber,women,1900,200,6.736326797000001e-06
Apprentice - Plumber,women,1910,0,0.0
Apprentice - Plumber,women,1920,0,0.0
Apprentice - Plumber,women,1930,0,0.0
Apprentice - Plumber,women,1940,2821,5.4217389282000006e-05
Apprentice - Plumber,women,1950,3305,5.4411427473e-05
Apprentice - Plumber,women,1960,0,0.0
Apprentice - Plumber,women,1970,200,1.8304657740000002e-06
Apprentice - Plumber,women,1980,500,3.8909646490000005e-06
Apprentice - Plumber,women,1990,244,1.6362037600000002e-06
Apprentice - Plumber,women,2000,0,0.0
Apprentice - Printing,men,1850,0,0.0
Apprentice - Printing,men,1860,2005,0.00023771601034500002
Apprentice - Printing,men,1870,4522,0.000344427341559
Apprentice - Printing,men,1880,2597,0.00014185611267300002
Apprentice - Printing,men,1900,4229,0.00014243963013300002
Apprentice - Printing,men,1910,0,0.0
Apprentice - Printing,men,1920,5150,0.000122652739158
Apprentice - Printing,men,1930,9605,0.00019710579333800002
Apprentice - Printing,men,1940,15899,0.000305566207802
Apprentice - Printing,men,1950,20145,0.0003316545254
Apprentice - Printing,men,1960,12253,0.00014098897604900002
Apprentice - Printing,men,1970,10015,9.166057365600001e-05
Apprentice - Printing,men,1980,0,0.0
Apprentice - Printing,men,1990,0,0.0
Apprentice - Printing,men,2000,0,0.0
Apprentice - Printing,women,1850,0,0.0
Apprentice - Printing,women,1860,0,0.0
Apprentice - Printing,women,1870,0,0.0
Apprentice - Printing,women,1880,99,5.407683925000001e-06
Apprentice - Printing,women,1900,200,6.736326797000001e-06
Apprentice - Printing,women,1910,0,0.0
Apprentice - Printing,women,1920,303,7.216267954e-06
Apprentice - Printing,women,1930,505,1.0363188509e-05
Apprentice - Printing,women,1940,2435,4.6798774514e-05
Apprentice - Printing,women,1950,1967,3.2383442614e-05
Apprentice - Printing,women,1960,299,3.440439389e-06
Apprentice - Printing,women,1970,1100,1.0067561759000002e-05
Apprentice - Printing,women,1980,0,0.0
Apprentice - Printing,women,1990,0,0.0
Apprentice - Printing,women,2000,0,0.0
Architect,men,1850,405,7.491395992900001e-05
Architect,men,1860,1707,0.000202384653196
Architect,men,1870,1914,0.00014578370892100002
Architect,men,1880,3892,0.00021259298826500003
Architect,men,1900,10151,0.00034190226660800005
Architect,men,1910,16624,0.000427034905839
Architect,men,1920,15439,0.00036769624075000005
Architect,men,1930,18200,0.00037348520965700005
Architect,men,1940,19929,0.00038301962106300003
Architect,men,1950,24820,0.000408620765471
Architect,men,1960,30179,0.00034725424860800004
Architect,men,1970,57091,0.000522515607649
Architect,men,1980,107765,0.0008386196108750001
Architect,men,1990,143413,0.0009616921715850001
Architect,men,2000,171025,0.001017265086695
Architect,women,1850,0,0.0
Architect,women,1860,0,0.0
Architect,women,1870,0,0.0
Architect,women,1880,0,0.0
Architect,women,1900,100,3.368163398e-06
Architect,women,1910,0,0.0
Architect,women,1920,100,2.3816065850000003e-06
Architect,women,1930,0,0.0
Architect,women,1940,303,5.823420401000001e-06
Architect,women,1950,519,8.5444874e-06
Architect,women,1960,1096,1.2611108932000002e-05
Architect,women,1970,2606,2.3850969041e-05
Architect,women,1980,10949,8.5204343891e-05
Architect,women,1990,27057,0.00018143756205200003
Architect,women,2000,45789,0.00027235521739300004
Artist / Art Teacher,men,1850,2123,0.000392697128224
Artist / Art Teacher,men,1860,5024,0.0005956534842760001
Artist / Art Teacher,men,1870,3716,0.000283036709693
Artist / Art Teacher,men,1880,5485,0.00029960753870400005
Artist / Art Teacher,men,1900,15074,0.00050771695073
Artist / Art Teacher,men,1910,20151,0.0005176359713400001
Artist / Art Teacher,men,1920,20083,0.00047829805058500005
Artist / Art Teacher,men,1930,34876,0.0007156961632970001
Artist / Art Teacher,men,1940,43200,0.000830269839427
Artist / Art Teacher,men,1950,52247,0.000860161528348
Artist / Art Teacher,men,1960,70230,0.0008081005295
Artist / Art Teacher,men,1970,70208,0.000642566705467
Artist / Art Teacher,men,1980,88510,0.000688778562229
Artist / Art Teacher,men,1990,113275,0.0007595941841830001
Artist / Art Teacher,men,2000,147525,0.0008774859343060001
Artist / Art Teacher,women,1850,0,0.0
Artist / Art Teacher,women,1860,605,7.172976870700001e-05
Artist / Art Teacher,women,1870,502,3.8235852601e-05
Artist / Art Teacher,women,1880,3393,0.000185336076358
Artist / Art Teacher,women,1900,11754,0.000395893925891
Artist / Art Teacher,women,1910,15617,0.000401167235592
Artist / Art Teacher,women,1920,13929,0.00033173398130800004
